"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene"
"ANXA1","5.16757183863509e-67","0.522537966055116","0.669","0.551","7.66195876514424e-63","ANXA1"
"CYTIP","5.44894200514488e-67","-0.377438279038368","0.062","0.174","8.07914631102831e-63","CYTIP"
"IER2","6.3507617373607e-67","0.636885416160017","0.588","0.461","9.41627442798471e-63","IER2"
"MGST1","1.41964282205355e-66","0.803249418441217","0.212","0.047","2.1049044122588e-62","MGST1"
"RNASE6","1.60267823429172e-66","0.804855334233801","0.242","0.07","2.37629101798434e-62","RNASE6"
"NFKBIA","2.03213904897219e-66","0.521316098177673","0.701","0.626","3.01305256791106e-62","NFKBIA"
"STXBP2","1.68410122093213e-65","-0.380489773086549","0.4","0.608","2.49701688027607e-61","STXBP2"
"CAMK1","2.23674336921553e-65","-0.373490660051559","0.091","0.222","3.31641939353586e-61","CAMK1"
"CXCL16","1.77913835899516e-64","-0.372205959758764","0.056","0.161","2.63792844488212e-60","CXCL16"
"PTPN6","2.02603319481134e-64","-0.420554126559852","0.188","0.362","3.00399941794677e-60","PTPN6"
"CALML4","1.36955650884999e-63","-0.282246851361768","0.012","0.066","2.03064143567188e-59","CALML4"
"ARPC3","2.07679913922812e-63","-0.281191445275903","0.722","0.876","3.07927008373354e-59","ARPC3"
"RPL8","6.19521230242036e-63","-0.219423972291429","0.894","0.97","9.18564128079866e-59","RPL8"
"TAGLN","2.94150877016552e-62","-0.26059996714348","0.012","0.065","4.36137505352442e-58","TAGLN"
"MYL12B","3.67777613675086e-62","-0.346419865021003","0.416","0.625","5.45303867796049e-58","MYL12B"
"RPL39","1.07129324277885e-61","0.274567499952673","0.902","0.917","1.5884064910682e-57","RPL39"
"CD36","1.46864387380809e-61","0.736321006114458","0.331","0.159","2.17755827169526e-57","CD36"
"UCP2","1.7778264215848e-61","-0.408692014262321","0.187","0.353","2.63598323528379e-57","UCP2"
"SLC44A2","1.81122831273642e-61","-0.284378480907769","0.018","0.08","2.6855082192943e-57","SLC44A2"
"GNGT2","7.61028877751944e-61","-0.309576606630592","0.017","0.079","1.12837751704281e-56","GNGT2"
