"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene"
"CTC1","0.146102335272527","-0.00652528249789973","0.007","0.01","1","CTC1"
"C4orf21","0.146143094005763","-0.0247525027527244","0.003","0.005","1","C4orf21"
"CAPRIN1","0.146306520568412","-0.00458610190590225","0.047","0.055","1","CAPRIN1"
"HSD17B12","0.146411143405273","0.054278594507117","0.019","0.015","1","HSD17B12"
"GTF3C3","0.146509694826833","-0.0142115347576194","0.011","0.015","1","GTF3C3"
"FBXO3","0.146832852417032","-0.0174650364304541","0.018","0.023","1","FBXO3"
"ERAL1","0.146891966561704","0.00353577884531739","0.011","0.015","1","ERAL1"
"UAP1","0.14708413914202","0.0236910579031349","0.006","0.003","1","UAP1"
"SRP19","0.147200902798486","0.0242793088886037","0.07","0.081","1","SRP19"
"SS18L1","0.147375538497216","0.0400658297068327","0.009","0.005","1","SS18L1"
"MRPL34","0.14742094530178","0.061506078183713","0.095","0.108","1","MRPL34"
"ZNF581","0.147552555914522","0.0210967432057248","0.051","0.06","1","ZNF581"
"BCL2L12","0.147981279983983","-0.00524265469002673","0.011","0.015","1","BCL2L12"
"SIK1","0.148017971532556","0.00864582870092023","0.056","0.065","1","SIK1"
"NUMB","0.148481341291102","0.183255461833041","0.15","0.144","1","NUMB"
"RAB3IP","0.148570880220918","0.0229385618057842","0.004","0.002","1","RAB3IP"
"SLFN11","0.1485946256643","0.0565909798606852","0.027","0.022","1","SLFN11"
"CEP57L1","0.14867806518608","-0.0134096007505972","0.003","0.005","1","CEP57L1"
"BTF3L4","0.148705968485069","0.0167227362670508","0.09","0.101","1","BTF3L4"
"IFIH1","0.148904847755973","-0.00976193488423045","0.015","0.02","1","IFIH1"
"GSPT1","0.149248203150556","0.0201501526838798","0.043","0.051","1","GSPT1"
"USP34","0.149248612015031","0.0912853073595399","0.043","0.036","1","USP34"
"CEP95","0.149422326467048","0.0510367903511125","0.019","0.014","1","CEP95"
"WRN","0.149518771914013","-0.00671473851418313","0.005","0.007","1","WRN"
"CRKL","0.14957682371046","-0.0144123040722396","0.016","0.021","1","CRKL"
"LYRM5","0.149971894914472","0.00827396868126798","0.034","0.041","1","LYRM5"
"DMAP1","0.150014328393722","0.00524862032852449","0.022","0.027","1","DMAP1"
"NR2C2","0.150124354663441","-0.0064778369183199","0.003","0.005","1","NR2C2"
"FBXO41","0.150250575841719","0.0322266578262656","0.007","0.004","1","FBXO41"
"PES1","0.15025216438907","-0.00779665002712959","0.025","0.03","1","PES1"
"ATL2","0.150414339077682","-0.00745273926416525","0.013","0.017","1","ATL2"
"ANKRD54","0.150493976689741","-0.00395613883712516","0.003","0.005","1","ANKRD54"
"P2RY2","0.15050263239878","0.00323363146601204","0.009","0.012","1","P2RY2"
"LARP4B","0.150504961075323","0.00077205514103923","0.025","0.031","1","LARP4B"
"TXNL4B","0.150690994206166","0.00128485244738806","0.008","0.011","1","TXNL4B"
"NEUROD1","0.150692191142787","-0.00913252993771782","0.004","0.006","1","NEUROD1"
"FAM210B","0.150731643989247","0.0556744553541228","0.036","0.029","1","FAM210B"
"THAP1","0.150774481081504","-0.0119364979393031","0.01","0.014","1","THAP1"
"ARNT","0.150787388616032","-0.00612234277294027","0.024","0.029","1","ARNT"
"ZNF134","0.151107288893364","0.000373177472599854","0.003","0.005","1","ZNF134"
"RBM5","0.151127018760596","0.130408335570611","0.08","0.072","1","RBM5"
"CBWD3","0.151143972773612","-0.0100594491702059","0.002","0.004","1","CBWD3"
"TATDN1","0.151161844773415","0.0810037028932543","0.046","0.039","1","TATDN1"
"SRR","0.15123947416786","-0.00704426622908394","0.002","0.004","1","SRR"
"PLEKHA1","0.151243155551226","-0.0108220877820088","0.007","0.01","1","PLEKHA1"
"C8orf31","0.151255395593223","-0.00894247815369034","0.002","0.004","1","C8orf31"
"TAP2","0.151307217379143","0.0284907627474032","0.034","0.041","1","TAP2"
"DHFR","0.151352860142867","-0.00532570445110322","0.004","0.007","1","DHFR"
"FRA10AC1","0.151410642875036","-0.0115928506732605","0.027","0.033","1","FRA10AC1"
"C9orf156","0.151504375106074","-0.00310571238147248","0.006","0.009","1","C9orf156"
"TTC9","0.151669799510543","-0.00350794546389259","0.002","0.004","1","TTC9"
"MDC1","0.151701712486571","-0.00565530607644659","0.002","0.004","1","MDC1"
"PPAT","0.151701712515391","-0.00421062094507053","0.002","0.004","1","PPAT"
"MEX3A","0.151701712515391","-0.0048274947313757","0.002","0.004","1","MEX3A"
"WIPI1","0.151749601910197","-0.00465721644598582","0.022","0.028","1","WIPI1"
"EIF4A3","0.151753343974816","0.0290392537909149","0.043","0.05","1","EIF4A3"
"NSUN4","0.151950458942112","0.0477264386792508","0.012","0.008","1","NSUN4"
"C12orf75","0.151989159721288","-0.00253028343009595","0.002","0.004","1","C12orf75"
"SOD2","0.151998653234525","0.196013790467447","0.339","0.349","1","SOD2"
"RNF214","0.15201952716935","-0.0139532390559246","0.01","0.014","1","RNF214"
"PCED1A","0.15216541003305","0.0515424461629058","0.013","0.009","1","PCED1A"
"STRN3","0.15219399524899","-0.0171548491247158","0.02","0.025","1","STRN3"
"ZNF598","0.152561569339783","0.0398649084317871","0.011","0.007","1","ZNF598"
"SNX32","0.152660454796715","0.00175688891364265","0.004","0.007","1","SNX32"
"HNRNPA3","0.152800589047677","0.0695065584229477","0.207","0.232","1","HNRNPA3"
"VCL","0.152913340728788","0.0362618103449185","0.047","0.055","1","VCL"
"SLC26A6","0.153094934950225","0.042725418012999","0.012","0.009","1","SLC26A6"
"ZNF264","0.153120987559836","-0.00486532135522073","0.007","0.01","1","ZNF264"
"HNRNPL","0.153349523573346","0.197314313669977","0.116","0.108","1","HNRNPL"
"DTX2","0.15344279439026","-0.0006578484331385","0.01","0.014","1","DTX2"
"AKAP1","0.153608567644494","-0.00881039406224349","0.006","0.009","1","AKAP1"
"BATF","0.153738380048358","0.033385965208788","0.019","0.014","1","BATF"
"ATG4D","0.153973135804097","0.00468425953397612","0.016","0.02","1","ATG4D"
"CSGALNACT1","0.154000486984689","0.0241933080956863","0.004","0.002","1","CSGALNACT1"
"EYA3","0.154002445933726","-0.0125677625241091","0.011","0.015","1","EYA3"
"PHF10","0.154080875565566","0.0592399619949855","0.019","0.015","1","PHF10"
"PRKCSH","0.154262146368335","0.120232551791038","0.068","0.06","1","PRKCSH"
"COCH","0.154345283398496","-0.0189709403847409","0.011","0.015","1","COCH"
"ZNF511","0.15437323221247","0.0317147120980917","0.07","0.08","1","ZNF511"
"C16orf80","0.154561853651937","-0.00419195181006152","0.017","0.021","1","C16orf80"
"FAM161A","0.154854145884424","-0.00473072222773974","0.001","0.002","1","FAM161A"
"GPR153","0.154854145971445","-0.00759473581530217","0.001","0.002","1","GPR153"
"TNFAIP6","0.154869676669379","0.0179507590513408","0.007","0.004","1","TNFAIP6"
"HSBP1L1","0.154894617094563","0.0425808671748074","0.023","0.018","1","HSBP1L1"
"RCSD1","0.154904330618864","0.0535093868266234","0.126","0.14","1","RCSD1"
"PSD","0.154938325588011","-0.00577142943877284","0.001","0.002","1","PSD"
"MFSD2B","0.154994464636049","-0.00518346902496339","0.001","0.002","1","MFSD2B"
"GLRX2","0.155009184174811","-0.000653411566551659","0.022","0.028","1","GLRX2"
"PITPNA","0.155020387945426","0.0785729288706223","0.031","0.025","1","PITPNA"
"PDE6A","0.155078702168965","-0.00581984868770717","0.001","0.002","1","PDE6A"
"TCF7L1","0.155078702168965","-0.00638377135107725","0.001","0.002","1","TCF7L1"
"KIAA1468","0.155092856992305","0.00130002099341951","0.016","0.021","1","KIAA1468"
"DNAH10","0.155162974461357","-0.00742151623987123","0.001","0.002","1","DNAH10"
"ATL1","0.155191072951068","-0.00460429529110684","0.001","0.002","1","ATL1"
"SMG6","0.155268155658996","0.00361298847222857","0.01","0.014","1","SMG6"
"TGFB3","0.155387870564703","-0.00366665755525616","0.001","0.002","1","TGFB3"
"TICAM2","0.155472270283313","-0.00134481259996835","0.001","0.002","1","TICAM2"
"SFXN4","0.155561332701748","0.00506757812640493","0.016","0.02","1","SFXN4"
"P2RY13","0.155633120337275","0.0332210711474221","0.068","0.078","1","P2RY13"
"RABAC1","0.155667704937512","0.150131252267944","0.227","0.225","1","RABAC1"
"BRD1","0.155689297691562","0.0463872492315106","0.012","0.009","1","BRD1"
"SDR39U1","0.155876416645212","0.0743152766491823","0.035","0.029","1","SDR39U1"
"MVD","0.155927949108359","0.00109480888940161","0.033","0.04","1","MVD"
"ZFYVE28","0.155953327641972","0.0142779694536766","0.003","0.001","1","ZFYVE28"
"VPS45","0.15601831128916","0.0536017606749178","0.02","0.015","1","VPS45"
"TCP11L2","0.156144894238269","0.0820595058841852","0.032","0.026","1","TCP11L2"
"G6PD","0.156205982895167","0.12526414990392","0.074","0.066","1","G6PD"
"CCL2","0.156632510999566","0.011222345822215","0.001","0","1","CCL2"
"LRRC1","0.156632510999566","0.00998473535029536","0.001","0","1","LRRC1"
"NR1I3","0.156632510999566","0.00889918529013479","0.001","0","1","NR1I3"
"SPATA6L","0.156632510999566","0.0079953013055116","0.001","0","1","SPATA6L"
"FSCN3","0.156632510999566","0.00758368840670192","0.001","0","1","FSCN3"
"ARNTL2","0.156632510999566","0.00751257655936736","0.001","0","1","ARNTL2"
"STX1B","0.156632510999566","0.00734383363896287","0.001","0","1","STX1B"
"FUT10","0.156632510999566","0.00724194406399169","0.001","0","1","FUT10"
"FAM209B","0.156632510999566","0.00712667900918438","0.001","0","1","FAM209B"
"SCIN","0.156632510999566","0.0070881688807071","0.001","0","1","SCIN"
"PGAP1","0.156632510999566","0.00546716271780987","0.001","0","1","PGAP1"
"TFG","0.156780702891496","-0.00455039707061278","0.031","0.037","1","TFG"
"ATP6V1C1","0.156872125707136","-0.00219308616496255","0.021","0.026","1","ATP6V1C1"
"ARHGAP10","0.157077564859497","0.0280620727355512","0.007","0.004","1","ARHGAP10"
"FFAR4","0.15745209092288","0.0143243526841492","0.002","0.001","1","FFAR4"
"FAM184B","0.15746594418987","-0.00103277194590007","0.009","0.012","1","FAM184B"
"CPSF3L","0.157473648756033","0.00731099457916259","0.035","0.041","1","CPSF3L"
"CNOT6","0.157526125451526","-0.018747172405909","0.013","0.017","1","CNOT6"
"PRDM2","0.157569162517907","0.0100777235306653","0.048","0.056","1","PRDM2"
"GLIS1","0.157667945915046","0.00955405357317574","0.002","0.001","1","GLIS1"
"HBP1","0.157720704907318","0.0332937766397009","0.054","0.063","1","HBP1"
"TMEM256","0.1578165786533","0.150793088178628","0.191","0.186","1","TMEM256"
"USP35","0.157938079878206","0.00927183360547303","0.002","0.001","1","USP35"
"KIAA1467","0.157956101228511","0.0104436351991494","0.002","0.001","1","KIAA1467"
"HCN2","0.157990910331762","-0.0110320124165652","0","0.001","1","HCN2"
"MAP6D1","0.158028588440757","-0.0194872050324386","0","0.001","1","MAP6D1"
"CD200R1","0.158046231519285","0.00223838136874145","0.002","0.001","1","CD200R1"
"PHYHD1","0.158066273354961","-0.00692839048861359","0","0.001","1","PHYHD1"
"OTUB2","0.158066273354961","-0.00827422313975729","0","0.001","1","OTUB2"
"EXD1","0.158103965074985","-0.00523867541671578","0","0.001","1","EXD1"
"TMEM119","0.158103965074985","-0.00586202083828033","0","0.001","1","TMEM119"
"COX7A1","0.158141663601442","-0.00776746712061038","0","0.001","1","COX7A1"
"CD151","0.15816752098303","0.00163089537304159","0.037","0.044","1","CD151"
"INPP4B","0.158179368934945","-0.00308360855520923","0","0.001","1","INPP4B"
"CCNE2","0.158179368934945","-0.00340770230279204","0","0.001","1","CCNE2"
"DLG5","0.158179368934945","-0.00388032550052406","0","0.001","1","DLG5"
"MPDZ","0.158179368934945","-0.00400088249357668","0","0.001","1","MPDZ"
"GPRASP1","0.158179368934945","-0.00585114749293272","0","0.001","1","GPRASP1"
"PAF1","0.158201012462266","-0.0017127643136161","0.015","0.02","1","PAF1"
"CDK1","0.158217081076104","-0.00311040842142148","0","0.001","1","CDK1"
"HIST1H3H","0.158217081076104","-0.00335321744998892","0","0.001","1","HIST1H3H"
"SLC12A8","0.158217081076104","-0.00525960816282556","0","0.001","1","SLC12A8"
"UGT2B11","0.158217081076104","-0.0076830236218734","0","0.001","1","UGT2B11"
"NFATC4","0.158254800025533","-0.00464399645673839","0","0.001","1","NFATC4"
"AKAP12","0.158292525783842","-0.00257742997585674","0","0.001","1","AKAP12"
"MYH7","0.158292525783842","-0.00260227730465248","0","0.001","1","MYH7"
"CHKA","0.158320556862308","-0.0229505709547164","0.02","0.025","1","CHKA"
"ACE","0.158367997729548","-0.00146784342029899","0","0.001","1","ACE"
"CDH2","0.158367997729548","-0.00166756908682994","0","0.001","1","CDH2"
"CSN1S1","0.158367997729548","-0.00188852827574995","0","0.001","1","CSN1S1"
"MCMDC2","0.158367997729548","-0.00336590766377193","0","0.001","1","MCMDC2"
"CCBE1","0.158405743918169","-0.00210357435200007","0","0.001","1","CCBE1"
"SMOC2","0.158443496918115","-0.00107966937389065","0","0.001","1","SMOC2"
"PLEKHG3","0.158491291380032","0.027652445060021","0.007","0.004","1","PLEKHG3"
"BCR","0.15854950917402","-0.00133536588485757","0.007","0.01","1","BCR"
"ADD1","0.158645929502999","-0.0137892842919217","0.041","0.048","1","ADD1"
"NOP10","0.158726173565387","0.0496744347504805","0.423","0.473","1","NOP10"
"GHRL","0.158781191085531","0.0211151489483226","0.007","0.004","1","GHRL"
"TRIM8","0.159370965674672","0.0115037922665034","0.055","0.063","1","TRIM8"
"ACTN4","0.159406279301331","0.125983377295933","0.068","0.061","1","ACTN4"
"TEKT4","0.1594119376575","-0.0175987991478176","0.002","0.003","1","TEKT4"
"SRP68","0.159558786587008","-0.0106564123635487","0.017","0.021","1","SRP68"
"TIMM8A","0.15981644590115","-0.00920953520657548","0.006","0.009","1","TIMM8A"
"MAFK","0.159841909641827","0.0049557691934575","0.023","0.029","1","MAFK"
"PLA2G6","0.160248389273359","-0.00735919643339776","0.002","0.003","1","PLA2G6"
"XPNPEP3","0.16026333343887","0.0204160396976079","0.027","0.033","1","XPNPEP3"
"ATF7IP","0.160335460623261","0.0547798491389095","0.022","0.017","1","ATF7IP"
"SFPQ","0.16038540090266","0.156395990700614","0.163","0.156","1","SFPQ"
"WDPCP","0.160409599375368","-0.0059356373795924","0.005","0.008","1","WDPCP"
"FBXL17","0.160451007816419","0.0342312788686309","0.012","0.008","1","FBXL17"
"MOK","0.160458019598445","-0.00629199271121188","0.002","0.003","1","MOK"
"SMARCA2","0.160496364830026","0.0121898859992753","0.031","0.037","1","SMARCA2"
"HS3ST1","0.160594846706688","-0.00454672645740337","0.002","0.003","1","HS3ST1"
"TLR5","0.160785068053144","0.056809166027792","0.021","0.016","1","TLR5"
"WDR5B","0.160832222477126","0.000619628508550702","0.002","0.003","1","WDR5B"
"ZC3H18","0.16105994912971","-0.0210673500201817","0.015","0.02","1","ZC3H18"
"TRMT1L","0.161522899702722","0.000800868271479488","0.011","0.015","1","TRMT1L"
"TASP1","0.161557281920341","-0.0089376656982973","0.005","0.007","1","TASP1"
"RNF185","0.161663087776938","-0.00114340284939609","0.005","0.008","1","RNF185"
"TNPO3","0.161750699697346","-0.00801977154957154","0.011","0.014","1","TNPO3"
"TRIP6","0.162190862898725","0.0249130804294888","0.006","0.003","1","TRIP6"
"H3F3A","0.162259153255908","0.02207925605908","0.085","0.096","1","H3F3A"
"IQSEC2","0.162495255231357","0.0604042448211617","0.025","0.02","1","IQSEC2"
"LRCH3","0.162544358316736","-0.0191955114433977","0.013","0.017","1","LRCH3"
"PRRC2B","0.162571056164438","0.0956182787399886","0.031","0.025","1","PRRC2B"
"NME7","0.162647717479124","-0.00926491020165596","0.005","0.007","1","NME7"
"HARBI1","0.163009369932062","0.0179611565319473","0.004","0.002","1","HARBI1"
"CLEC1A","0.163346923253352","0.0205013815682217","0.004","0.002","1","CLEC1A"
"ALG9","0.163409751439066","-0.0063935160777992","0.003","0.005","1","ALG9"
"WDR20","0.163446430606915","0.000396587266298251","0.012","0.016","1","WDR20"
"ECD","0.163565459019539","-0.00224583835602749","0.015","0.02","1","ECD"
"CEBPE","0.163629770468274","0.0193786297554434","0.004","0.002","1","CEBPE"
"ABL2","0.163632699208302","0.0644854732600609","0.012","0.009","1","ABL2"
"PAICS","0.163717278068454","-0.00867151089851463","0.007","0.01","1","PAICS"
"CTSK","0.163800667139093","0.0183903962899389","0.009","0.006","1","CTSK"
"HECTD4","0.16387955072892","0.00956466129038241","0.014","0.018","1","HECTD4"
"ADORA3","0.163926811661928","0.0141913299147196","0.004","0.002","1","ADORA3"
"TTC33","0.164158420428146","-0.00162008380471235","0.003","0.005","1","TTC33"
"CRCP","0.164183251235312","-0.0121875017519951","0.02","0.025","1","CRCP"
"MAP1LC3A","0.164211806660571","0.0296044402379921","0.006","0.004","1","MAP1LC3A"
"PSMD5","0.164230627893526","0.00936458925705812","0.012","0.016","1","PSMD5"
"N4BP2","0.164231662374964","0.00803920615589862","0.014","0.018","1","N4BP2"
"CTU1","0.164280842743466","-0.00792618500616456","0.017","0.022","1","CTU1"
"NAA15","0.164298267874166","-0.00368174156202131","0.021","0.026","1","NAA15"
"AGPAT9","0.16439007041173","0.0519261247452655","0.026","0.021","1","AGPAT9"
"SASS6","0.164462493240896","-0.0112992530746408","0.004","0.007","1","SASS6"
"GCLC","0.164604088674167","-0.0125044612328723","0.013","0.017","1","GCLC"
"AFF3","0.164608393572203","-0.00240679206168584","0.004","0.007","1","AFF3"
"USP40","0.16473048881481","-0.00883282494341129","0.004","0.006","1","USP40"
"LSS","0.164819563211831","-0.00716774958919495","0.003","0.005","1","LSS"
"CTTNBP2NL","0.164880913231426","0.0228849352253741","0.005","0.003","1","CTTNBP2NL"
"SPNS3","0.165085603111731","0.017675907933834","0.005","0.003","1","SPNS3"
"ELL2","0.165091820984185","0.0411479677058479","0.012","0.008","1","ELL2"
"MPZL1","0.165165110613606","0.0295867553012253","0.016","0.012","1","MPZL1"
"DDX19A","0.165191443272764","-0.00899445434564972","0.011","0.015","1","DDX19A"
"TPCN2","0.165229984349235","-0.0092407154656472","0.017","0.022","1","TPCN2"
"FASN","0.165243382631778","-0.00989148754707808","0.004","0.006","1","FASN"
"C12orf65","0.165506706102365","-0.00512737784304165","0.004","0.006","1","C12orf65"
"JUNB","0.165616845152146","-0.0104704309308059","0.787","0.843","1","JUNB"
"CAMP","0.165641701365539","-0.0064438226639706","0.004","0.006","1","CAMP"
"CLEC12B","0.165644645922608","0.0000128112560153631","0.004","0.007","1","CLEC12B"
"NT5DC1","0.165693023560564","0.0528868335287576","0.018","0.014","1","NT5DC1"
"P2RY11","0.165934632762993","-0.00431019970829362","0.003","0.005","1","P2RY11"
"PTRH2","0.16603890767931","0.00167776266490172","0.013","0.017","1","PTRH2"
"EGR3","0.166213610005964","0.00743854308836577","0.004","0.007","1","EGR3"
"PPIP5K2","0.166283406635763","0.0190036230520906","0.038","0.045","1","PPIP5K2"
"CSGALNACT2","0.166439599481868","0.0690327933002645","0.074","0.085","1","CSGALNACT2"
"CEP85L","0.166522613076704","-0.00189086481905809","0.037","0.044","1","CEP85L"
"ZNF585B","0.166535789842137","-0.0138585769838834","0.001","0.003","1","ZNF585B"
"TUFM","0.166579679437004","0.0491820761748615","0.129","0.144","1","TUFM"
"ARHGAP9","0.166797031460814","0.032476364515127","0.075","0.086","1","ARHGAP9"
"CHN2","0.166825840743484","0.116479851608961","0.071","0.063","1","CHN2"
"RARG","0.166931143122975","0.0270737399232895","0.01","0.007","1","RARG"
"MILR1","0.167144557089653","0.0680445656520976","0.023","0.018","1","MILR1"
"FANCE","0.167228747117309","-0.0040777491981718","0.001","0.003","1","FANCE"
"CXorf65","0.16731288893949","-0.00648284296755749","0.001","0.003","1","CXorf65"
"TNFSF8","0.167315082736709","0.0352880403005889","0.009","0.006","1","TNFSF8"
"FARS2","0.167324232789092","-0.0161193339464168","0.009","0.012","1","FARS2"
"ALDH9A1","0.167376340639511","0.0155231715890057","0.025","0.031","1","ALDH9A1"
"ARHGAP44","0.167544442954672","-0.00457593525381165","0.001","0.003","1","ARHGAP44"
"UCK2","0.167857623715392","0.0243642222898707","0.007","0.004","1","UCK2"
"YDJC","0.167861100522298","-0.00422822327774461","0.026","0.031","1","YDJC"
"COQ4","0.16786618692419","0.00846438606725589","0.026","0.031","1","COQ4"
"TRAFD1","0.167881513644012","0.0249019300284976","0.023","0.028","1","TRAFD1"
"SPIB","0.167890476746882","-0.00708028339862589","0.001","0.002","1","SPIB"
"ERV3-1","0.16791014278549","0.00263122987450662","0.018","0.023","1","ERV3-1"
"DARS2","0.16798716892402","-0.00190909294653742","0.001","0.003","1","DARS2"
"PTX3","0.1681489474157","0.0378565469475812","0.008","0.005","1","PTX3"
"C15orf65","0.168280457599764","-0.00681263282205959","0.001","0.002","1","C15orf65"
"FER","0.168291689968128","0.0221181421751015","0.007","0.004","1","FER"
"MYO10","0.168378058980499","-0.00558629064902618","0.001","0.002","1","MYO10"
"TUBD1","0.168464253638793","0.0398024389162577","0.006","0.003","1","TUBD1"
"FAM86C1","0.16847570284574","-0.00470976641021642","0.001","0.002","1","FAM86C1"
"STC1","0.168524540712782","-0.00266671021768543","0.001","0.002","1","STC1"
"NPDC1","0.168557748587885","0.0141690705494953","0.002","0.001","1","NPDC1"
"SPIN3","0.168573389204228","-0.00104207054699426","0.001","0.002","1","SPIN3"
"METAP1","0.16858169569269","-0.0136137651667145","0.011","0.014","1","METAP1"
"CCDC73","0.168597817434444","-0.00253081673068035","0.001","0.002","1","CCDC73"
"ITIH4","0.168646681864545","-0.00249776781193095","0.001","0.002","1","ITIH4"
"PPIB","0.168649109719113","0.0553530585748505","0.234","0.26","1","PPIB"
"CD209","0.168654633214479","0.00728905529052156","0.001","0","1","CD209"
"MUC20","0.168654633214479","0.00716328187968912","0.001","0","1","MUC20"
"PLSCR2","0.168654633288452","0.00926235076939175","0.001","0","1","PLSCR2"
"F3","0.168654633288452","0.00879131462564504","0.001","0","1","F3"
"HHAT","0.168654633288452","0.00873898933920738","0.001","0","1","HHAT"
"SPAG17","0.168654633288452","0.00786347317298599","0.001","0","1","SPAG17"
"NDN","0.168654633288452","0.00780596287656156","0.001","0","1","NDN"
"PRX","0.168654633288452","0.00759388769549342","0.001","0","1","PRX"
"CHEK1","0.168654633288452","0.00752713221026058","0.001","0","1","CHEK1"
"MMP19","0.168654633288452","0.00752224623420038","0.001","0","1","MMP19"
"NPAS1","0.168654633288452","0.00741242791515703","0.001","0","1","NPAS1"
"PRRG1","0.168654633288452","0.00739978642539123","0.001","0","1","PRRG1"
"TMEM158","0.168654633288452","0.00705117652649715","0.001","0","1","TMEM158"
"SERPINH1","0.168654633288452","0.00593795250440084","0.001","0","1","SERPINH1"
"PASK","0.168654633288452","0.00543903749404887","0.001","0","1","PASK"
"TXLNB","0.168654633288452","0.00523500699416437","0.001","0","1","TXLNB"
"EIF3E","0.168681668756127","0.0466263565725249","0.363","0.403","1","EIF3E"
"CEP104","0.168696776387551","-0.0130960712726508","0.011","0.014","1","CEP104"
"KANK2","0.168961366892051","0.0102162073579508","0.002","0.001","1","KANK2"
"AFAP1","0.168980604881624","0.0128133838420711","0.002","0.001","1","AFAP1"
"ZYX","0.168984666798976","0.0652449500640999","0.203","0.226","1","ZYX"
"CREB3L2","0.169078671438028","0.0668220975298354","0.024","0.019","1","CREB3L2"
"GIT1","0.169141367121918","0.00593835064579454","0.014","0.018","1","GIT1"
"AASDH","0.169206814546135","0.0544382388052546","0.016","0.012","1","AASDH"
"BRAP","0.169267892526216","0.00575859647370479","0.016","0.021","1","BRAP"
"ATP11B","0.16928398967857","0.0164639896191724","0.033","0.039","1","ATP11B"
"ZFC3H1","0.16961087001019","0.0149569264960577","0.052","0.061","1","ZFC3H1"
"UCHL5","0.169621777723198","0.0102556417753673","0.016","0.02","1","UCHL5"
"SEC63","0.169793724192347","0.109885037056101","0.056","0.049","1","SEC63"
"NAF1","0.169930635001388","-0.0132336097975014","0.011","0.014","1","NAF1"
"DCAF8","0.170130932128222","-0.0118924820033253","0.026","0.032","1","DCAF8"
"CDK9","0.170353472760285","0.0139260385868689","0.02","0.025","1","CDK9"
"YIPF5","0.170482962404648","0.00625425526406181","0.011","0.015","1","YIPF5"
"VPS9D1","0.170773185761705","0.0475025265677594","0.018","0.014","1","VPS9D1"
"MKS1","0.17088231993558","-0.0160232287626107","0.002","0.004","1","MKS1"
"AHSA2","0.170912942850139","0.0138027412554337","0.023","0.029","1","AHSA2"
"FAM98B","0.170965832410458","0.00861351722207632","0.01","0.014","1","FAM98B"
"TTC39A","0.170985877745994","-0.0146029898028839","0.002","0.004","1","TTC39A"
"FLVCR1","0.171048932862207","0.019220925970852","0.008","0.005","1","FLVCR1"
"ZNF562","0.171109356973677","-0.0118014594404677","0.008","0.011","1","ZNF562"
"FYB","0.171451150317529","0.151675940423613","0.378","0.395","1","FYB"
"RPS10","0.171474620417754","0.0499365137661381","0.486","0.554","1","RPS10"
"DNAJC24","0.171753854499667","-0.00524488646254458","0.011","0.014","1","DNAJC24"
"C14orf182","0.171874979099727","-0.0181700490555495","0.005","0.008","1","C14orf182"
"CDC16","0.171906039444976","-0.0127156910507817","0.019","0.023","1","CDC16"
"COASY","0.171983595550739","0.0308809851929391","0.033","0.04","1","COASY"
"PEX11G","0.172048057588352","0.0509136822286747","0.026","0.021","1","PEX11G"
"RELL1","0.172330435615198","0.0311557213477996","0.006","0.004","1","RELL1"
"CTAGE5","0.172339647171169","-0.000565580427972265","0.007","0.01","1","CTAGE5"
"SEPT1","0.172370987308106","0.0598880409679772","0.024","0.019","1","SEPT1"
"BTBD6","0.172514730208913","-0.00714854721280794","0.008","0.011","1","BTBD6"
"ANKRD13D","0.172821963009117","0.0453204133294872","0.083","0.095","1","ANKRD13D"
"FOXRED1","0.17309693142727","0.00262436785957661","0.009","0.012","1","FOXRED1"
"TDP1","0.17314065810671","0.00616265107550672","0.012","0.016","1","TDP1"
"ZNF81","0.17315869107513","0.0169862488675815","0.004","0.002","1","ZNF81"
"IL1R2","0.17324583329638","0.0150565765536921","0.004","0.002","1","IL1R2"
"SPATS2","0.173247089608776","0.0261565848134302","0.005","0.003","1","SPATS2"
"METTL10","0.173304145099264","-0.0110311239714345","0.018","0.022","1","METTL10"
"SLC35C2","0.173406663863508","0.0170124116509912","0.027","0.033","1","SLC35C2"
"SWT1","0.173601211391881","0.0221990694055752","0.005","0.003","1","SWT1"
"RTN1","0.173683679708656","0.0622488161025794","0.026","0.021","1","RTN1"
"RNASE1","0.173796820267937","0.0183182812705722","0.005","0.003","1","RNASE1"
"UBXN7","0.173814929864306","-0.00806793550122314","0.027","0.033","1","UBXN7"
"GAPT","0.173856263549248","0.0946300571989422","0.047","0.04","1","GAPT"
"POLR1D","0.173896444930929","0.0561024288097451","0.182","0.202","1","POLR1D"
"TNFRSF10B","0.174229742261077","0.0599975287762847","0.03","0.024","1","TNFRSF10B"
"DHX32","0.174237665558708","0.030586631050395","0.007","0.004","1","DHX32"
"KDM4A","0.174522587110913","-0.0241994349305697","0.007","0.01","1","KDM4A"
"GSTM4","0.174610609311303","0.0376578111561478","0.012","0.009","1","GSTM4"
"NUP62","0.174612087987404","0.0751963578059567","0.032","0.026","1","NUP62"
"DDX60","0.174971833017602","-0.00823681290758348","0.009","0.012","1","DDX60"
"SACM1L","0.175006460789066","-0.00481873357946833","0.014","0.018","1","SACM1L"
"ITM2B","0.175432618164044","0.0233436557616002","0.681","0.75","1","ITM2B"
"ZNF678","0.175815305761685","0.0166879501835736","0.003","0.001","1","ZNF678"
"KLRF1","0.17584033555419","0.0165280759589615","0.003","0.001","1","KLRF1"
