gene.symbol	module
MT-CO2	oxphos
MT-CO3	oxphos
CHCHD5	oxphos
COA3	oxphos
COA4	oxphos
COA5	oxphos
COX10	oxphos
COX14	oxphos
COX15	oxphos
COX17	oxphos
COX19	oxphos
COX20	oxphos
COX6B1	oxphos
COX6C	oxphos
COX7A2L	oxphos
PET100	oxphos
SCO1	oxphos
SCO2	oxphos
SURF1	oxphos
AARS2	oxphos
BID	oxphos
COQ9	oxphos
DLD	oxphos
IMMP1L	oxphos
