gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
COTL1,COTL1,2,0.300559443707777,2.73667270195593,0.932505399568035,0.322313890994096,0.141201498175838,3.9571355612913e-288,3.52034693803597e-283
COX6C,COX6C,6,0.217915948428545,1.22484218467826,0.846153846153846,0.257537029961007,0.0295167914534136,0.000677348061819413,1
CST3,CST3,1,0.212304368723285,4.6241608612506,0.942962659006976,0.225146103820124,0.000538059331204481,0.0235587509778683,1
CST3,CST3,2,0.236271238547686,5.10341761265098,0.974082073434125,0.242557834695296,0.0077186154178683,7.10965208554416e-17,6.3248886883418e-12
CST3,CST3,5,0.210112549799732,4.53302787089002,0.947368421052632,0.221785469233051,1.34657210211414e-05,0.919348258509556,1
CST7,CST7,3,0.307206456690791,0.811655501795547,0.373626373626374,0.822229045848881,0.283094264806399,1.46150572348803e-71,1.30018472172942e-66
CSTA,CSTA,5,0.218345966850718,1.6959741603085,0.824561403508772,0.26480255554236,0.00652030270137675,0.0258643475570627,1
CTSS,CTSS,1,0.191566227046301,2.63519331338986,0.871387537370303,0.219840448515497,0.000385658973972892,0.055248789220252,1
CTSS,CTSS,5,0.203589232009608,2.83130788992759,0.87719298245614,0.232091724490953,0.000230565862061217,0.675226783491041,1
CTSW,CTSW,3,0.257467482066058,1.01771871263862,0.384615384615385,0.66941545337175,0.27316547521205,4.25857602024958e-69,3.78851439913443e-64
CYBA,CYBA,5,0.199278243780517,4.34264455447526,0.982456140350877,0.202836783848026,0.00283399143992761,0.141841846627729,1
EIF1,EIF1,5,0.204755271668982,4.73195770570921,0.964912280701754,0.21220091791149,0.00266420745252592,0.15436489679441,1
EIF1,EIF1,6,0.209176890880627,4.64297876595563,1,0.209176890880627,0.00358362998376512,0.236395579274194,1
FAU,FAU,4,0.20720825783073,3.76929308785544,0.949152542372881,0.218308700214519,0.00587823058955608,0.0318434778844407,1
FCER1G,FCER1G,2,0.287763038131514,5.89489578220399,0.991360691144708,0.290270777025907,0.188500926722925,0,0
FCGR3A,FCGR3A,2,0.472694373667611,1.30456095747715,0.739200863930886,0.639466749475834,0.477175624882256,0,0
FCN1,FCN1,1,0.206210801751002,3.31903715180663,0.905856146315728,0.227641886175522,0.0289619330335545,2.12090931507262e-62,1.8868033448749e-57
FCN1,FCN1,5,0.210326342713429,3.37528309556763,0.912280701754386,0.230550029512797,0.000937266616341026,0.39824192076604,1
FOS,FOS,1,0.22397057450559,7.13043745974395,0.977489888035641,0.229128277690606,0.0832823004250792,3.03336993858702e-178,2.69854656476579e-173
FOS,FOS,5,0.238662731390971,7.70431184143763,0.982456140350877,0.242924565880096,0.0054361607909551,0.0418953829054548,1
FOS,FOS,6,0.224799807453672,6.95267902424415,1,0.224799807453672,0.00236775793613339,0.335830174919332,1
FTH1,FTH1,1,0.204515814299263,16.2444361640022,0.997831056920101,0.204960361657333,0.0812244543908965,8.44105896870917e-174,7.50933487974305e-169
FTH1,FTH1,2,0.271548213475368,23.5709080787032,1,0.271548213475368,0.16052140471478,0,0
FTH1,FTH1,5,0.214474817978699,17.2490413847479,1,0.214474817978699,0.000217199470351729,0.684258217403323,1
FTL,FTL,1,0.209820812327208,25.8756579475644,0.999882759833519,0.209845414638555,0.0685797107775957,1.36743196428136e-146,1.21649482406398e-141
FTL,FTL,2,0.264401836371114,35.1335713190598,1,0.264401836371114,0.163029237042493,0,0
FTL,FTL,5,0.208520243981514,25.6597942369857,1,0.208520243981514,0.000269991012480903,0.650264703274357,1
GNLY,GNLY,3,0.425936056110212,12.0287609483647,0.604395604395604,0.704730565564169,0.454649663560088,2.41111693498255e-114,2.14497784769917e-109
GPX1,GPX1,1,0.193036245309675,1.83046384645668,0.786329796588311,0.245490182550898,0.106113361180989,7.22894655254026e-228,6.43101543207086e-223
GPX1,GPX1,6,0.209199767326738,2.09603473788936,0.769230769230769,0.27195969752476,0.00102885808624908,0.525805306328075,1
GZMA,GZMA,3,0.255338502582487,1.20536913441077,0.351648351648352,0.726118866718947,0.269688748469094,3.1042683352928e-68,2.76161919644318e-63
GZMB,GZMB,3,0.241288847932661,1.03993229996794,0.340659340659341,0.708299521350714,0.253178111645443,3.86268539865477e-64,3.43632218435126e-59
