metavar,cluster,gene,statistic,p.value,FDR
mut,1,CCDC58,1,1,1
mut,1,CCDC62,0,1,1
mut,1,CCDC80,1,1,1
mut,1,CCDC81,1,1,1
mut,1,CCDC9,1,1,1
mut,1,CCDC91,1,1,1
mut,1,CCDC96,1,1,1
mut,1,CCL19,1,1,1
mut,1,CCL2,1,1,1
mut,1,CCL20,1,1,1
mut,1,CCL3,1,1,1
mut,1,CCL3L1,1,1,1
mut,1,CCL3L3,1,1,1
mut,1,CCL4,1,1,1
mut,1,CCL4L2,1,1,1
mut,1,CCL5,0,1,1
mut,1,CCNC,1,1,1
mut,1,CCND2,1,1,1
mut,1,CCNE1,1,1,1
mut,1,CCR1,1,1,1
mut,1,CCR10,1,1,1
mut,1,CCT2,1,1,1
mut,1,CD109,1,1,1
mut,1,CD14,1,1,1
mut,1,CD160,1,1,1
mut,1,CD180,1,1,1
mut,1,CD1C,1,1,1
mut,1,CD1E,1,1,1
mut,1,CD2,1,1,1
mut,1,CD200R1,1,1,1
mut,1,CD247,0,1,1
mut,1,CD2AP,1,1,1
mut,1,CD2BP2,1,1,1
mut,1,CD300A,1,1,1
mut,1,CD300C,1,1,1
mut,1,CD300LB,1,1,1
mut,1,CD302,1,1,1
mut,1,CD320,1,1,1
mut,1,CD3D,0,1,1
mut,1,CD3E,0,1,1
mut,1,CD3G,0,1,1
mut,1,CD40,1,1,1
mut,1,CD47,1,1,1
mut,1,CD5,1,1,1
mut,1,CD52,1,1,1
mut,1,CD69,1,1,1
mut,1,CD7,0,1,1
mut,1,CD72,1,1,1
mut,1,CD74,0,1,1
mut,1,CD79A,1,1,1
mut,1,CD79B,1,1,1
mut,1,CD81,1,1,1
mut,1,CD86,1,1,1
mut,1,CD9,1,1,1
mut,1,CD97,1,1,1
mut,1,CDC27,1,1,1
mut,1,CDC42BPB,1,1,1
mut,1,CDC42SE1,1,1,1
mut,1,CDCA3,1,1,1
mut,1,CDCA7L,1,1,1
mut,1,CDH23,1,1,1
mut,1,CDK11A,1,1,1
mut,1,CDKN1A,1,1,1
mut,1,CDKN1C,0,1,1
mut,1,CDKN3,1,1,1
mut,1,CDYL2,1,1,1
mut,1,CEACAM3,1,1,1
mut,1,CEBPD,0,1,1
mut,1,CEBPZ,1,1,1
mut,1,CENPBD1,1,1,1
mut,1,CENPJ,1,1,1
mut,1,CENPL,1,1,1
mut,1,CENPN,1,1,1
mut,1,CENPV,1,1,1
mut,1,CEP104,1,1,1
mut,1,CEP128,1,1,1
mut,1,CEP164,1,1,1
mut,1,CEP19,1,1,1
mut,1,CEP57,1,1,1
mut,1,CEP68,1,1,1
mut,1,CERS4,1,1,1
mut,1,CETN2,1,1,1
mut,1,CFD,1,1,1
mut,1,CHCHD10,0,1,1
mut,1,CHD8,1,1,1
mut,1,CHID1,1,1,1
mut,1,CHMP1B,1,1,1
mut,1,CHURC1,1,1,1
mut,1,CIAO1,1,1,1
mut,1,CIAPIN1,1,1,1
mut,1,CITED2,1,1,1
mut,1,CKAP2,1,1,1
mut,1,CKB,1,1,1
mut,1,CKS2,1,1,1
mut,1,CLDN5,0,1,1
mut,1,CLEC10A,1,1,1
mut,1,CLEC11A,1,1,1
mut,1,CLEC16A,1,1,1
mut,1,CLEC18A,1,1,1
mut,1,CLEC1A,1,1,1
mut,1,CLEC1B,1,1,1
mut,1,CLEC2B,1,1,1
mut,1,CLEC4D,1,1,1
mut,1,CLEC4E,1,1,1
mut,1,CLEC4G,1,1,1
mut,1,CLECL1,1,1,1
mut,1,CLIC3,0,1,1
mut,1,CLIP2,1,1,1
mut,1,CLPX,1,1,1
mut,1,CLSPN,1,1,1
mut,1,CLSTN3,1,1,1
mut,1,CLU,1,1,1
mut,1,CMC1,1,1,1
mut,1,CMSS1,1,1,1
mut,1,CMTM2,0,1,1
mut,1,CMTM3,1,1,1
mut,1,CMTM5,0,1,1
mut,1,CNGA1,1,1,1
mut,1,CNN3,1,1,1
mut,1,CNOT6L,1,1,1
mut,1,CNR2,1,1,1
mut,1,CNST,1,1,1
mut,1,COASY,1,1,1
mut,1,COBLL1,1,1,1
mut,1,COG7,1,1,1
mut,1,COMTD1,1,1,1
mut,1,COPZ2,1,1,1
mut,1,COQ10A,1,1,1
mut,1,COQ3,1,1,1
mut,1,COTL1,0,1,1
mut,1,COX20,1,1,1
mut,1,CPM,1,1,1
mut,1,CPVL,1,1,1
mut,1,CPXM1,1,1,1
mut,1,CRB1,1,1,1
mut,1,CREB3,1,1,1
mut,1,CREB5,1,1,1
mut,1,CREM,1,1,1
mut,1,CRIM1,1,1,1
mut,1,CRIP1,1,1,1
mut,1,CRIP3,1,1,1
mut,1,CSAD,1,1,1
mut,1,CSF1R,1,1,1
mut,1,CSNK1G1,1,1,1
mut,1,CSPP1,1,1,1
mut,1,CST3,0,1,1
mut,1,CST7,0,1,1
mut,1,CTDSPL,1,1,1
mut,1,CTNNB1,0,1,1
mut,1,CTNS,1,1,1
mut,1,CTSC,1,1,1
mut,1,CTSG,1,1,1
mut,1,CTSL,1,1,1
mut,1,CTSW,0,1,1
mut,1,CWC15,1,1,1
mut,1,CWC27,1,1,1
mut,1,CWF19L2,1,1,1
mut,1,CX3CR1,1,1,1
mut,1,CXCL1,0,1,1
mut,1,CXCL10,1,1,1
mut,1,CXCL11,0,1,1
mut,1,CXCL16,1,1,1
mut,1,CXCL2,1,1,1
mut,1,CXCL3,1,1,1
mut,1,CXCL5,1,1,1
mut,1,CXCL9,1,1,1
mut,1,CXCR4,1,1,1
mut,1,CXXC1,1,1,1
mut,1,CXXC5,1,1,1
mut,1,CXorf21,1,1,1
mut,1,CYB5D2,1,1,1
mut,1,CYCS,1,1,1
mut,1,CYP1B1,1,1,1
mut,1,CYP27A1,1,1,1
mut,1,CYP4F22,1,1,1
mut,1,CYP4V2,1,1,1
mut,1,CYSLTR2,1,1,1
mut,1,CYTIP,1,1,1
mut,1,DAAM1,1,1,1
mut,1,DAB2,1,1,1
mut,1,DALRD3,1,1,1
mut,1,DARS,1,1,1
mut,1,DBP,1,1,1
mut,1,DCBLD2,1,1,1
mut,1,DCST1,1,1,1
mut,1,DDB2,1,1,1
mut,1,DDIT4,1,1,1
mut,1,DDX1,1,1,1
mut,1,DDX11,1,1,1
mut,1,DDX23,1,1,1
mut,1,DDX3Y,1,1,1
mut,1,DDX59,1,1,1
mut,1,DDX6,1,1,1
mut,1,DECR1,1,1,1
mut,1,DEFB1,1,1,1
mut,1,DET1,1,1,1
mut,1,DFFA,1,1,1
mut,1,DHRS11,1,1,1
mut,1,DHRS7B,1,1,1
mut,1,DHRS9,1,1,1
mut,1,DHX16,1,1,1
mut,1,DHX30,1,1,1
mut,1,DHX57,1,1,1
mut,1,DHX58,1,1,1
mut,1,DIAPH2,1,1,1
mut,1,DKC1,1,1,1
mut,1,DMTN,0,1,1
mut,1,DNAJA4,1,1,1
mut,1,DNAJB5,1,1,1
mut,1,DNAJB9,1,1,1
mut,1,DNAJC11,1,1,1
mut,1,DNAJC12,1,1,1
mut,1,DNAJC13,1,1,1
mut,1,DNAL4,1,1,1
mut,1,DNASE2,1,1,1
mut,1,DNPH1,1,1,1
mut,1,DOC2A,1,1,1
mut,1,DPM2,1,1,1
mut,1,DRAP1,0,1,1
mut,1,DST,1,1,1
mut,1,DSTN,1,1,1
mut,1,DUOX1,1,1,1
mut,1,DUSP10,1,1,1
mut,1,DUSP2,1,1,1
mut,1,DUSP5,1,1,1
mut,1,DUSP6,1,1,1
mut,1,DYM,1,1,1
mut,1,DYSF,1,1,1
mut,1,ECT2,1,1,1
mut,1,EEA1,1,1,1
mut,1,EEF1A1,1,1,1
mut,1,EEF1B2,0,1,1
mut,1,EFCAB2,1,1,1
mut,1,EFHC1,1,1,1
mut,1,EGLN1,1,1,1
mut,1,EGR1,1,1,1
mut,1,EGR2,1,1,1
mut,1,EHD1,1,1,1
mut,1,EIF2A,1,1,1
mut,1,EIF2B3,1,1,1
mut,1,EIF2S1,1,1,1
mut,1,EIF3J,1,1,1
mut,1,EIF4E,1,1,1
mut,1,EIF5A2,1,1,1
mut,1,EIF5B,1,1,1
mut,1,EML4,1,1,1
mut,1,EMP1,1,1,1
mut,1,EMR2,1,1,1
mut,1,ENHO,1,1,1
mut,1,ENKUR,0,1,1
mut,1,EPB41L1,1,1,1
mut,1,EPC2,1,1,1
mut,1,EPHB6,1,1,1
mut,1,EPM2A,1,1,1
mut,1,EPSTI1,1,1,1
mut,1,ERC1,1,1,1
mut,1,ERCC4,1,1,1
mut,1,ERCC8,1,1,1
mut,1,EREG,1,1,1
mut,1,ERI3,1,1,1
mut,1,ERP27,1,1,1
mut,1,ESF1,1,1,1
mut,1,ETHE1,1,1,1
mut,1,ETS1,0,1,1
mut,1,ETV3,1,1,1
mut,1,ETV6,1,1,1
mut,1,ETV7,1,1,1
mut,1,EVA1C,0,1,1
mut,1,EVI5L,1,1,1
mut,1,EVL,1,1,1
mut,1,EXOC3L1,1,1,1
mut,1,EXOC4,1,1,1
mut,1,EXOSC1,1,1,1
mut,1,EZR,1,1,1
mut,1,F13A1,1,1,1
mut,1,F5,1,1,1
mut,1,F8,1,1,1
mut,1,FABP5,1,1,1
mut,1,FADD,1,1,1
mut,1,FADS1,1,1,1
mut,1,FAF2,1,1,1
mut,1,FAHD1,1,1,1
mut,1,FAIM,1,1,1
mut,1,FAM107B,1,1,1
mut,1,FAM122B,1,1,1
mut,1,FAM124B,1,1,1
mut,1,FAM127C,1,1,1
mut,1,FAM13A,1,1,1
mut,1,FAM179B,1,1,1
mut,1,FAM20A,1,1,1
mut,1,FAM210A,1,1,1
mut,1,FAM211A,1,1,1
mut,1,FAM213A,1,1,1
mut,1,FAM220A,1,1,1
mut,1,FAM222B,1,1,1
mut,1,FAM26F,0,1,1
mut,1,FAM27A,1,1,1
mut,1,FAM3D,1,1,1
mut,1,FAM50A,1,1,1
mut,1,FAM72A,1,1,1
mut,1,FAM72B,1,1,1
mut,1,FAM81A,1,1,1
mut,1,FAM89B,1,1,1
mut,1,FAM98C,1,1,1
mut,1,FBF1,0,1,1
mut,1,FBL,1,1,1
mut,1,FBN2,1,1,1
mut,1,FBP1,1,1,1
mut,1,FBXL8,1,1,1
mut,1,FBXO33,1,1,1
mut,1,FBXO36,1,1,1
mut,1,FBXO42,1,1,1
mut,1,FBXW4,1,1,1
mut,1,FCAR,1,1,1
mut,1,FCER1A,1,1,1
mut,1,FCER1G,1,1,1
mut,1,FCER2,1,1,1
mut,1,FCGR1A,1,1,1
mut,1,FCGR1B,1,1,1
mut,1,FCGR2B,1,1,1
mut,1,FCGR3A,1,1,1
mut,1,FCRL1,1,1,1
mut,1,FER,1,1,1
mut,1,FFAR3,1,1,1
mut,1,FGD2,1,1,1
mut,1,FGFBP2,0,1,1
mut,1,FGFBP3,1,1,1
mut,1,FHL3,1,1,1
mut,1,FIBCD1,1,1,1
mut,1,FIGNL1,1,1,1
mut,1,FKBP4,1,1,1
mut,1,FKBP5,1,1,1
mut,1,FKBP6,1,1,1
mut,1,FMN1,1,1,1
mut,1,FMNL2,1,1,1
mut,1,FOLR2,1,1,1
mut,1,FOLR3,1,1,1
mut,1,FOXJ2,1,1,1
mut,1,FOXO4,1,1,1
mut,1,FOXRED2,1,1,1
mut,1,FPR1,1,1,1
mut,1,FRA10AC1,1,1,1
mut,1,FRMD4B,1,1,1
mut,1,FSCN1,1,1,1
mut,1,FTH1,1,1,1
mut,1,FTL,0,1,1
mut,1,FTSJ1,1,1,1
mut,1,FUCA1,1,1,1
mut,1,FUOM,1,1,1
mut,1,FXR2,1,1,1
mut,1,FZD3,1,1,1
mut,1,G0S2,0,1,1
mut,1,GAD1,1,1,1
mut,1,GADD45A,1,1,1
mut,1,GADD45B,1,1,1
mut,1,GADD45G,1,1,1
mut,1,GALE,1,1,1
mut,1,GALR2,1,1,1
mut,1,GAPVD1,1,1,1
mut,1,GATM,1,1,1
mut,1,GBE1,1,1,1
mut,1,GBP1,1,1,1
mut,1,GBP2,1,1,1
mut,1,GBP4,1,1,1
mut,1,GBP5,1,1,1
mut,1,GBP7,1,1,1
mut,1,GCH1,1,1,1
mut,1,GCHFR,1,1,1
mut,1,GET4,1,1,1
mut,1,GFRA2,1,1,1
mut,1,GGCX,1,1,1
mut,1,GHRL,1,1,1
mut,1,GIMAP1,1,1,1
mut,1,GIMAP4,1,1,1
mut,1,GIMAP7,1,1,1
mut,1,GINS4,1,1,1
mut,1,GK,1,1,1
mut,1,GLO1,1,1,1
mut,1,GLOD4,1,1,1
mut,1,GLYR1,1,1,1
mut,1,GMNN,1,1,1
mut,1,GMPS,1,1,1
mut,1,GNE,1,1,1
mut,1,GNG11,1,1,1
mut,1,GNGT2,1,1,1
mut,1,GNL1,1,1,1
mut,1,GNLY,0,1,1
mut,1,GOLGA4,1,1,1
mut,1,GOPC,1,1,1
mut,1,GORAB,1,1,1
mut,1,GP6,1,1,1
mut,1,GP9,0,1,1
mut,1,GPA33,1,1,1
mut,1,GPBAR1,1,1,1
mut,1,GPHN,1,1,1
mut,1,GPI,1,1,1
mut,1,GPN1,1,1,1
mut,1,GPN3,1,1,1
mut,1,GPNMB,1,1,1
mut,1,GPR132,1,1,1
mut,1,GPR146,1,1,1
mut,1,GPR155,1,1,1
mut,1,GPR162,1,1,1
mut,1,GPR180,1,1,1
mut,1,GPR183,1,1,1
mut,1,GPR35,1,1,1
mut,1,GPR42,1,1,1
mut,1,GPRC5B,1,1,1
mut,1,GRAMD1A,1,1,1
mut,1,GRASP,1,1,1
mut,1,GRK4,1,1,1
mut,1,GSN,1,1,1
mut,1,GSTA4,1,1,1
mut,1,GSTM1,1,1,1
mut,1,GSTM5,1,1,1
mut,1,GTF3C2,1,1,1
mut,1,GTF3C4,1,1,1
mut,1,GUCY1A3,1,1,1
mut,1,GUCY2D,1,1,1
mut,1,GUF1,1,1,1
mut,1,GYLTL1B,0,1,1
mut,1,GYPC,1,1,1
mut,1,GZMA,0,1,1
mut,1,GZMB,0,1,1
mut,1,GZMH,0,1,1
mut,1,GZMK,0,1,1
mut,1,GZMM,0,1,1
mut,1,H1F0,1,1,1
mut,1,H1FX,1,1,1
mut,1,H6PD,1,1,1
mut,1,HACL1,1,1,1
mut,1,HBEGF,1,1,1
mut,1,HBG2,1,1,1
mut,1,HCAR3,1,1,1
mut,1,HCFC1,1,1,1
mut,1,HDAC11,1,1,1
mut,1,HDAC7,1,1,1
mut,1,HDAC9,1,1,1
mut,1,HERC5,1,1,1
mut,1,HES1,1,1,1
mut,1,HES4,1,1,1
mut,1,HEXB,1,1,1
mut,1,HHAT,1,1,1
mut,1,HIATL1,1,1,1
mut,1,HIBADH,1,1,1
mut,1,HILPDA,1,1,1
mut,1,HIST1H1C,1,1,1
mut,1,HIST1H2AC,1,1,1
mut,1,HIST1H2AK,1,1,1
mut,1,HIST1H2BC,1,1,1
mut,1,HIST1H2BH,0,1,1
mut,1,HIST1H2BJ,0,1,1
mut,1,HIST1H2BK,1,1,1
mut,1,HIST1H4C,1,1,1
mut,1,HIST1H4H,1,1,1
mut,1,HIST2H2AB,1,1,1
mut,1,HIVEP3,1,1,1
mut,1,HKR1,1,1,1
mut,1,HLTF,1,1,1
mut,1,HMCN2,1,1,1
mut,1,HMGB2,1,1,1
mut,1,HMGCS1,1,1,1
mut,1,HMGN1,1,1,1
mut,1,HMGN5,1,1,1
mut,1,HMGXB4,1,1,1
mut,1,HMOX1,1,1,1
mut,1,HMOX2,1,1,1
mut,1,HOMEZ,1,1,1
mut,1,HOPX,0,1,1
mut,1,HOXA10,1,1,1
mut,1,HOXA5,1,1,1
mut,1,HOXB2,1,1,1
mut,1,HP,1,1,1
mut,1,HRH1,1,1,1
mut,1,HSD11B1L,1,1,1
mut,1,HSD17B4,1,1,1
mut,1,HSF2BP,1,1,1
mut,1,HSF4,1,1,1
mut,1,HSP90AA1,1,1,1
mut,1,HSP90AB1,1,1,1
mut,1,HSP90B1,1,1,1
mut,1,HSPA1A,1,1,1
mut,1,HSPA1B,1,1,1
mut,1,HSPA1L,1,1,1
mut,1,HSPA5,1,1,1
mut,1,HSPA6,1,1,1
mut,1,HSPA8,1,1,1
mut,1,HSPB1,1,1,1
mut,1,HTATIP2,1,1,1
mut,1,HTR7,1,1,1
mut,1,HYAL2,1,1,1
mut,1,HYAL3,1,1,1
mut,1,HYPK,1,1,1
mut,1,IBA57,1,1,1
mut,1,ICA1L,1,1,1
mut,1,ICAM2,1,1,1
mut,1,ICAM4,1,1,1
mut,1,ID1,1,1,1
mut,1,ID2,0,1,1
mut,1,ID3,1,1,1
mut,1,IDH2,1,1,1
mut,1,IDH3G,1,1,1
mut,1,IDI1,1,1,1
mut,1,IER2,0,1,1
mut,1,IER3,1,1,1
mut,1,IFI27,1,1,1
mut,1,IFI30,1,1,1
mut,1,IFI35,1,1,1
mut,1,IFI44,1,1,1
mut,1,IFI44L,1,1,1
mut,1,IFI6,0,1,1
mut,1,IFIT1,1,1,1
mut,1,IFIT2,1,1,1
mut,1,IFIT3,1,1,1
mut,1,IFIT5,1,1,1
mut,1,IFITM1,1,1,1
mut,1,IFITM2,1,1,1
mut,1,IFITM3,1,1,1
mut,1,IFT172,1,1,1
mut,1,IFT88,1,1,1
mut,1,IGF2R,1,1,1
mut,1,IGFBP2,1,1,1
mut,1,IGFBP6,1,1,1
mut,1,IGJ,0,1,1
mut,1,IGSF6,1,1,1
mut,1,IKZF1,1,1,1
mut,1,IL11RA,1,1,1
mut,1,IL18BP,1,1,1
mut,1,IL1A,1,1,1
mut,1,IL1B,1,1,1
mut,1,IL1R2,1,1,1
mut,1,IL1RN,1,1,1
mut,1,IL21R,1,1,1
mut,1,IL24,1,1,1
mut,1,IL27RA,1,1,1
mut,1,IL2RG,1,1,1
mut,1,IL32,0,1,1
mut,1,IL4I1,1,1,1
mut,1,IL7,1,1,1
mut,1,IL7R,0,1,1
mut,1,IL8,1,1,1
mut,1,ILVBL,1,1,1
mut,1,INO80D,1,1,1
mut,1,INPP1,1,1,1
mut,1,INPP4B,1,1,1
mut,1,INPP5A,1,1,1
mut,1,INSIG1,1,1,1
mut,1,INSR,1,1,1
mut,1,INTS12,1,1,1
mut,1,INTS5,1,1,1
mut,1,INTS6,1,1,1
mut,1,IPPK,1,1,1
mut,1,IQCK,1,1,1
mut,1,IRAK4,1,1,1
mut,1,IRF1,1,1,1
mut,1,IRF2,1,1,1
mut,1,IRF2BPL,1,1,1
mut,1,IRF4,1,1,1
mut,1,IRS2,1,1,1
mut,1,IRX5,1,1,1
mut,1,ISG15,1,1,1
mut,1,ISG20,1,1,1
mut,1,ISOC1,1,1,1
mut,1,ITGA2B,1,1,1
mut,1,ITGA4,1,1,1
mut,1,ITGA5,1,1,1
mut,1,ITGB1BP2,1,1,1
mut,1,ITLN1,1,1,1
mut,1,ITM2A,0,1,1
mut,1,ITPKB,1,1,1
mut,1,ITSN1,1,1,1
mut,1,IVD,1,1,1
mut,1,JMJD4,1,1,1
mut,1,JPH4,1,1,1
mut,1,JRKL,1,1,1
mut,1,JUN,1,1,1
mut,1,JUNB,0,1,1
mut,1,KANSL1,1,1,1
mut,1,KANSL1L,1,1,1
