metavar,cluster,gene,statistic,p.value,FDR
dx,all,C5AR1,18,0.481818181818182,0.557067175248993
dx,all,C5orf45,19,0.372727272727273,0.474032634032634
dx,all,C6orf120,19,0.372727272727273,0.474032634032634
dx,all,C6orf48,17,0.6,0.650491803278689
dx,all,C8orf58,20,0.281818181818182,0.474032634032634
dx,all,C9orf47,26,0.0181818181818182,0.474032634032634
dx,all,C9orf69,20,0.281818181818182,0.474032634032634
dx,all,C9orf9,23,0.1,0.474032634032634
dx,all,CABIN1,21,0.209090909090909,0.474032634032634
dx,all,CACFD1,19,0.372727272727273,0.474032634032634
dx,all,CACNA2D3,18,0.481818181818182,0.557067175248993
dx,all,CACNB4,23,0.1,0.474032634032634
dx,all,CALHM2,20,0.281818181818182,0.474032634032634
dx,all,CALML4,19,0.372727272727273,0.474032634032634
dx,all,CALR,16,0.727272727272727,0.761831621388116
dx,all,CAMK1,16,0.727272727272727,0.761831621388116
dx,all,CAMK1D,19,0.372727272727273,0.474032634032634
dx,all,CAMP,19,0.372727272727273,0.474032634032634
dx,all,CAND1,21,0.209090909090909,0.474032634032634
dx,all,CAPZA1,22,0.145454545454545,0.474032634032634
dx,all,CARF,21,0.209090909090909,0.474032634032634
dx,all,CASP10,20,0.281818181818182,0.474032634032634
dx,all,CASP5,18,0.481818181818182,0.557067175248993
dx,all,CATSPER1,18,0.481818181818182,0.557067175248993
dx,all,CBLL1,19,0.372727272727273,0.474032634032634
dx,all,CBLN3,4,0.1,0.474032634032634
dx,all,CBR4,20,0.281818181818182,0.474032634032634
dx,all,CBY1,23,0.1,0.474032634032634
dx,all,CCDC122,21,0.209090909090909,0.474032634032634
dx,all,CCDC13,19,0.372727272727273,0.474032634032634
dx,all,CCDC137,20,0.281818181818182,0.474032634032634
dx,all,CCDC146,19,0.372727272727273,0.474032634032634
dx,all,CCDC149,23,0.1,0.474032634032634
dx,all,CCDC15,19,0.372727272727273,0.474032634032634
dx,all,CCDC153,22,0.145454545454545,0.474032634032634
dx,all,CCDC167,20,0.281818181818182,0.474032634032634
dx,all,CCDC176,7,0.281818181818182,0.474032634032634
dx,all,CCDC19,19,0.372727272727273,0.474032634032634
dx,all,CCDC25,20,0.281818181818182,0.474032634032634
dx,all,CCDC41,19,0.372727272727273,0.474032634032634
dx,all,CCDC43,19,0.372727272727273,0.474032634032634
dx,all,CCDC50,18,0.481818181818182,0.557067175248993
dx,all,CCDC58,17,0.6,0.650491803278689
dx,all,CCDC62,4,0.1,0.474032634032634
dx,all,CCDC80,12,0.863636363636364,0.884135472370766
dx,all,CCDC81,20,0.281818181818182,0.474032634032634
dx,all,CCDC9,20,0.281818181818182,0.474032634032634
dx,all,CCDC91,19,0.372727272727273,0.474032634032634
dx,all,CCDC96,19,0.372727272727273,0.474032634032634
dx,all,CCL19,19,0.372727272727273,0.474032634032634
dx,all,CCL2,21,0.209090909090909,0.474032634032634
dx,all,CCL20,20,0.281818181818182,0.474032634032634
dx,all,CCL3,13,1,1
dx,all,CCL3L1,19,0.372727272727273,0.474032634032634
dx,all,CCL3L3,19,0.372727272727273,0.474032634032634
dx,all,CCL4,19,0.372727272727273,0.474032634032634
dx,all,CCL4L2,19,0.372727272727273,0.474032634032634
dx,all,CCL5,5,0.145454545454545,0.474032634032634
dx,all,CCNC,20,0.281818181818182,0.474032634032634
dx,all,CCND2,20,0.281818181818182,0.474032634032634
dx,all,CCNE1,19,0.372727272727273,0.474032634032634
dx,all,CCR1,21,0.209090909090909,0.474032634032634
dx,all,CCR10,20,0.281818181818182,0.474032634032634
